community_url,label,member_count,Id,type
thyroiduk,Thyroid UK,168733.0,thyroiduk_co-occurrence,community
couchto5k,Couch to,159886.0,couchto5k_co-occurrence,community
anxiety-depression-support,Anxiety and Depression Support,88818.0,anxiety-depression-support_co-occurrence,community
asthmalunguk-lung,Lung Conditions Community Forum,67506.0,asthmalunguk-lung_co-occurrence,community
fibromyalgia-action-uk,Fibromyalgia Action UK,67449.0,fibromyalgia-action-uk_co-occurrence,community
fertility-network-uk,Fertility Network UK,60497.0,fertility-network-uk_co-occurrence,community
endometriosis-uk,Endometriosis UK,53887.0,endometriosis-uk_co-occurrence,community
anxietysupport,Anxiety Support,49558.0,anxietysupport_co-occurrence,community
nras,NRAS,46619.0,nras_co-occurrence,community
pmrgcauk,PMRGCAuk,41614.0,pmrgcauk_co-occurrence,community
cllsupport,CLL Support,40649.0,cllsupport_co-occurrence,community
afassociation,Atrial Fibrillation Support,39650.0,afassociation_co-occurrence,community
bhf,British Heart Foundation,35558.0,bhf_co-occurrence,community
nosmokingday,No Smoking Day,32495.0,nosmokingday_co-occurrence,community
quitsupport,Quit Support,30561.0,quitsupport_co-occurrence,community
lupusuk,LUPUS UK,28837.0,lupusuk_co-occurrence,community
advanced-prostate-cancer,Advanced Prostate Cancer,28798.0,advanced-prostate-cancer_co-occurrence,community
bridgeto10k,Bridge to,26817.0,bridgeto10k_co-occurrence,community
asthmalunguk-asthma,Asthma Community Forum,25092.0,asthmalunguk-asthma_co-occurrence,community
pasoc,Pernicious Anaemia Society,24457.0,pasoc_co-occurrence,community
britishlivertrust,British Liver Trust,19073.0,britishlivertrust_co-occurrence,community
theibsnetwork,IBS Network,16340.0,theibsnetwork_co-occurrence,community
healmyptsd,Heal My PTSD,12792.0,healmyptsd_co-occurrence,community
painconcern,Pain Concern,12190.0,painconcern_co-occurrence,community
diabetesindia,Diabetes India,12107.0,diabetesindia_co-occurrence,community
hughes-syndrome,Hughes Syndrome APS Forum,10649.0,hughes-syndrome_co-occurrence,community
menshealth-penishealth,Men's Health Forum (Penis Health),9139.0,menshealth-penishealth_co-occurrence,community
pbc-foundation,PBC Foundation,8523.0,pbc-foundation_co-occurrence,community
adhd-parents,CHADD's ADHD Parents Together,6541.0,adhd-parents_co-occurrence,community
adult-adhd,CHADD's Adult ADHD Support,6368.0,adult-adhd_co-occurrence,community
tinnitus-uk,Tinnitus UK,5616.0,tinnitus-uk_co-occurrence,community
nkf-ckd,Kidney Disease,5304.0,nkf-ckd_co-occurrence,community
ataxia-uk,Ataxia UK,4708.0,ataxia-uk_co-occurrence,community
menshealth,Men's Health Forum,4668.0,menshealth_co-occurrence,community
glutenfreeguerrillas,Gluten Free Guerrillas,4439.0,glutenfreeguerrillas_co-occurrence,community
behcetsuk,Behçet's UK,4412.0,behcetsuk_co-occurrence,community
womenshealth,Women's Health,4181.0,womenshealth_co-occurrence,community
lungcancer,The Roy Castle Lung Cancer Foundation,3592.0,lungcancer_co-occurrence,community
livingwithanxiety,Living with Anxiety,3328.0,livingwithanxiety_co-occurrence,community
bonehealth,Bone Health and Osteoporosis UK,3034.0,bonehealth_co-occurrence,community
eric,ERIC,3021.0,eric_co-occurrence,community
early-ckd-support,Early CKD Support,2783.0,early-ckd-support_co-occurrence,community
app-network,Action on Postpartum Psychosis,2730.0,app-network_co-occurrence,community
migrainecentre,National Migraine Centre,2704.0,migrainecentre_co-occurrence,community
lsn,LSN,2679.0,lsn_co-occurrence,community
cholesterol-support,Cholesterol Support,2651.0,cholesterol-support_co-occurrence,community
macularsociety,Macular Society,2646.0,macularsociety_co-occurrence,community
icusteps,ICUsteps,2515.0,icusteps_co-occurrence,community
active10,Active,2446.0,active10_co-occurrence,community
care-community,Care Community,2372.0,care-community_co-occurrence,community
lung-cancer-support,Lung Cancer Support,2224.0,lung-cancer-support_co-occurrence,community
arthritis-action,Arthritis Action,2183.0,arthritis-action_co-occurrence,community
glaucoma-uk,Glaucoma UK,2179.0,glaucoma-uk_co-occurrence,community
meningitisnow,Meningitis Now,2133.0,meningitisnow_co-occurrence,community
itpsupport,ITP Support Association,2123.0,itpsupport_co-occurrence,community
my-skin,MY SKIN,1941.0,my-skin_co-occurrence,community
crohns-colitis-support,Crohn's and Colitis Support,1771.0,crohns-colitis-support_co-occurrence,community
drwfdiabetes,Diabetes Research & Wellness Foundation,1606.0,drwfdiabetes_co-occurrence,community
above-beyond,Above & Beyond - Mental Health,1540.0,above-beyond_co-occurrence,community
blood-pressure-support,High Blood Pressure Support,1539.0,blood-pressure-support_co-occurrence,community
copd-friends,COPD Friends,1473.0,copd-friends_co-occurrence,community
fight-prostate-cancer,Fight Prostate Cancer,1388.0,fight-prostate-cancer_co-occurrence,community
fertility-ivf,"Fertility, Miscarriage & IVF Support",1381.0,fertility-ivf_co-occurrence,community
anticoagulation-support,Anticoagulation Support,1377.0,anticoagulation-support_co-occurrence,community
diabeteshelp,Diabetes & Hypertension Help Society,1353.0,diabeteshelp_co-occurrence,community
lupus-support,LUpus Patients Understanding and Support,1292.0,lupus-support_co-occurrence,community
ansiedad-depresion-apoyo,Apoyo para Ansiedad y Depresion,1286.0,ansiedad-depresion-apoyo_co-occurrence,community
fertility-network-uk-pregnancy,Fertility Network UK - Pregnancy Support,1234.0,fertility-network-uk-pregnancy_co-occurrence,community
hepatitisfoundation,HFI Connect - Hepatitis,1215.0,hepatitisfoundation_co-occurrence,community
amneasier,AMN EASIER,1185.0,amneasier_co-occurrence,community
edsuk,The Ehlers-Danlos Support UK,946.0,edsuk_co-occurrence,community
acoustic-neuroma-support,Acoustic Neuroma Support,940.0,acoustic-neuroma-support_co-occurrence,community
osteoporosis-support,Osteoporosis Support,902.0,osteoporosis-support_co-occurrence,community
leukaemia-support,Leukaemia Support,808.0,leukaemia-support_co-occurrence,community
changingfaces,Changing Faces,760.0,changingfaces_co-occurrence,community
hivpartners,HIV Partners,759.0,hivpartners_co-occurrence,community
sca-heart-attack,Sudden Cardiac Arrest & Heart Attack,758.0,sca-heart-attack_co-occurrence,community
livingwithasthma,Living with Asthma,751.0,livingwithasthma_co-occurrence,community
drink-free,Drink Free,685.0,drink-free_co-occurrence,community
tourettes-action,Tourettes Action,680.0,tourettes-action_co-occurrence,community
cmtuk,Charcot-Marie-Tooth UK,667.0,cmtuk_co-occurrence,community
opa-gord,Acid Reflux Support,659.0,opa-gord_co-occurrence,community
fasd-support,FASD Support,636.0,fasd-support_co-occurrence,community
fungalinfectiontrust,Aspergillosis and Rare Fungal Infection Support,561.0,fungalinfectiontrust_co-occurrence,community
oa-action,Osteoarthritis Action,561.0,oa-action_co-occurrence,community
menopause-perimenopause-support,Menopause and Perimenopause Support,554.0,menopause-perimenopause-support_co-occurrence,community
